year,month,district,village,neighborhood,house,men,women,total population
110,10,Banqiao,126,2515,219474,269207,284577,553784
110,10,Sanchong,119,2564,155491,187529,194797,382326
110,10,Zhonghe,93,2998,169892,196965,210399,407364
110,10,Yonghe,62,1249,91708,102563,113921,216484
110,10,Xinzhuang,84,1842,162638,205512,216457,421969
110,10,Xindian,69,1482,130834,144272,156609,300881
110,10,Tucheng,47,1236,90448,116819,120795,237614
110,10,Luzhou,38,727,73954,98750,102975,201725
110,10,Shulin,42,1039,67810,90837,91474,182311
110,10,Yingge,20,434,32582,44114,44028,88142
110,10,Sanxia,28,608,44798,58042,58123,116165
110,10,Tamsui,42,698,84774,88496,96488,184984
110,10,Xizhi,50,1141,92166,100174,105691,205865
110,10,Ruifang,34,426,16121,19439,19147,38586
110,10,Wugu,20,515,35582,45351,45065,90416
110,10,Taishan,17,466,29014,38251,39352,77603
110,10,Linkou,17,443,50513,60308,63826,124134
110,10,Bali,10,195,16014,19962,20118,40080
110,10,Shenkeng,8,239,9866,11824,11854,23678
110,10,Shiding,12,107,3392,4102,3405,7507
110,10,Pinglin,7,78,2566,3608,3038,6646
110,10,Sanzhi,13,254,9638,11502,10905,22407
110,10,Shimen,9,124,4223,5847,5378,11225
110,10,Jinshan,15,201,7224,10241,10620,20861
110,10,Wanli,10,186,7550,10772,10773,21545
110,10,Pingxi,12,120,2223,2433,1911,4344
110,10,Shuangxi,12,244,3684,4490,3773,8263
110,10,Gongliao,11,202,4333,5914,5674,11588
110,10,Wulai,5,43,1916,3118,3254,6372