年份,月份,行政區,里數_現有門牌數值,里數_戶籍登記,鄰數_現有門牌,鄰數_戶籍登記,戶數,人口數_合計數量,人口數_男數量,人口數_女數量
111,1,  總計 ,456,456,9598,9572,1050027,2514425,1197417,1317008
111,1,  松山區 ,33,33,765,762,79780,192511,90081,102430
111,1,  信義區 ,41,41,910,905,87525,206209,97951,108258
111,1,  大安區 ,53,53,1026,1021,119093,290419,135471,154948
111,1,  中山區 ,42,42,871,869,99227,214563,99484,115079
111,1,  中正區 ,31,31,583,582,64885,149962,71337,78625
111,1,  大同區 ,25,25,525,521,51975,120224,58198,62026
111,1,  萬華區 ,36,36,722,722,78412,175961,85994,89967
111,1,  文山區 ,43,43,1005,1002,107016,260641,124536,136105
111,1,  南港區 ,20,20,456,456,47696,115384,56230,59154
111,1,  內湖區 ,39,39,916,916,109711,275847,131412,144435
111,1,  士林區 ,51,51,996,995,106931,268608,129518,139090
111,1,  北投區 ,42,42,823,821,97776,244096,117205,126891
111,2,  總計 ,456,456,9598,9572,1048177,2504597,1192907,1311690
111,2,  松山區 ,33,33,765,762,79567,191481,89637,101844
111,2,  信義區 ,41,41,910,905,87338,205343,97566,107777
111,2,  大安區 ,53,53,1026,1021,118920,289649,135113,154536
111,2,  中山區 ,42,42,871,869,98869,213203,98864,114339
111,2,  中正區 ,31,31,583,582,64755,149338,71048,78290
111,2,  大同區 ,25,25,525,521,51943,119885,58019,61866
111,2,  萬華區 ,36,36,722,722,78324,175373,85706,89667
111,2,  文山區 ,43,43,1005,1002,106892,259768,124136,135632
111,2,  南港區 ,20,20,456,456,47657,115009,56052,58957
111,2,  內湖區 ,39,39,916,916,109537,274842,130918,143924
111,2,  士林區 ,51,51,996,995,106814,267597,129102,138495
111,2,  北投區 ,42,42,823,821,97561,243109,116746,126363
111,3,  總計 ,456,456,9598,9571,1045646,2490445,1186053,1304392
111,3,  松山區 ,33,33,765,762,79257,189961,88894,101067
111,3,  信義區 ,41,41,910,905,87129,204052,96971,107081
111,3,  大安區 ,53,53,1026,1021,118634,288292,134510,153782
111,3,  中山區 ,42,42,871,869,98589,211945,98259,113686
111,3,  中正區 ,31,31,583,582,64491,148249,70520,77729
111,3,  大同區 ,25,25,525,521,51797,119188,57653,61535
111,3,  萬華區 ,36,36,722,721,78173,174390,85213,89177
111,3,  文山區 ,43,43,1005,1002,106637,258278,123384,134894
111,3,  南港區 ,20,20,456,456,47492,114285,55673,58612
111,3,  內湖區 ,39,39,916,916,109342,273414,130217,143197
111,3,  士林區 ,51,51,996,995,106601,266036,128378,137658
111,3,  北投區 ,42,42,823,821,97504,242355,116381,125974
111,4,  總計 ,456,456,9597,9572,1043569,2478124,1179782,1298342
111,4,  松山區 ,33,33,765,762,79046,188926,88397,100529
111,4,  信義區 ,41,41,910,905,87077,203098,96504,106594
111,4,  大安區 ,53,53,1026,1021,118524,287544,134098,153446
111,4,  中山區 ,42,42,871,869,98288,210447,97472,112975
111,4,  中正區 ,31,31,583,582,64312,147482,70160,77322
111,4,  大同區 ,25,25,525,522,51642,118445,57280,61165
111,4,  萬華區 ,36,36,721,721,77941,173345,84705,88640
111,4,  文山區 ,43,43,1005,1002,106404,256942,122726,134216
111,4,  南港區 ,20,20,456,456,47391,113641,55317,58324
111,4,  內湖區 ,39,39,916,916,109120,271853,129409,142444
111,4,  士林區 ,51,51,996,995,106387,264537,127560,136977
111,4,  北投區 ,42,42,823,821,97437,241864,116154,125710
111,5,  總計 ,456,456,9596,9570,1042426,2470599,1175883,1294716
111,5,  松山區 ,33,33,765,762,78859,188069,87962,100107
111,5,  信義區 ,41,41,911,905,86937,202379,96193,106186
111,5,  大安區 ,53,53,1026,1021,118179,285886,133357,152529
111,5,  中山區 ,42,42,871,869,98167,209798,97134,112664
111,5,  中正區 ,31,31,583,582,64219,146995,69905,77090
111,5,  大同區 ,25,25,525,522,51671,118331,57203,61128
111,5,  萬華區 ,36,36,721,721,77942,173088,84531,88557
111,5,  文山區 ,43,43,1005,1002,106322,256311,122373,133938
111,5,  南港區 ,20,20,454,454,47500,113660,55298,58362
111,5,  內湖區 ,39,39,916,916,109165,271594,129227,142367
111,5,  士林區 ,51,51,996,995,106166,263527,127046,136481
111,5,  北投區 ,42,42,823,821,97299,240961,115654,125307
111,6,總計,456,456,9596,9571,1041655,2464452,1172552,1291900
111,6,松山區,33,33,765,762,78817,187965,87876,100089
111,6,信義區,41,41,911,905,86839,201846,95939,105907
111,6,大安區,53,53,1026,1021,117311,282337,131598,150739
111,6,中山區,42,42,871,869,98265,209855,97126,112729
111,6,中正區,31,31,583,582,64273,147034,69871,77163
111,6,大同區,25,25,525,523,51749,118281,57133,61148
111,6,萬華區,36,36,721,721,77951,172855,84377,88478
111,6,文山區,43,43,1005,1002,106388,256262,122342,133920
111,6,南港區,20,20,454,454,47541,113645,55274,58371
111,6,內湖區,39,39,916,916,109226,271490,129142,142348
111,6,士林區,51,51,996,995,106096,263013,126782,136231
111,6,北投區,42,42,823,821,97199,239869,115092,124777
111,7,總計,456,456,9596,9571,1042073,2462482,1171248,1291234
111,7,松山區,33,33,765,762,78842,187940,87842,100098
111,7,信義區,41,41,911,905,86893,201694,95830,105864
111,7,大安區,53,53,1026,1021,116938,280696,130784,149912
111,7,中山區,42,42,871,869,98341,210000,97132,112868
111,7,中正區,31,31,583,582,64273,146901,69812,77089
111,7,大同區,25,25,525,523,51800,118164,57082,61082
111,7,萬華區,36,36,721,721,78057,172832,84341,88491
111,7,文山區,43,43,1005,1002,106509,256288,122327,133961
111,7,南港區,20,20,454,454,47589,113650,55254,58396
111,7,內湖區,39,39,916,916,109353,271495,129092,142403
111,7,士林區,51,51,996,995,106176,263032,126787,136245
111,7,北投區,42,42,823,821,97302,239790,114965,124825
111,8,總計,456,456,9596,9572,1043552,2461695,1170539,1291156
111,8,松山區,33,33,765,762,78914,187857,87813,100044
111,8,信義區,41,41,911,906,87111,201787,95854,105933
111,8,大安區,53,53,1026,1021,117044,280720,130795,149925
111,8,中山區,42,42,871,869,98553,210047,97111,112936
111,8,中正區,31,31,583,582,64355,146726,69709,77017
111,8,大同區,25,25,525,523,51835,118027,57000,61027
111,8,萬華區,36,36,721,721,78160,172768,84282,88486
111,8,文山區,43,43,1005,1002,106588,256062,122183,133879
111,8,南港區,20,20,454,454,47654,113573,55189,58384
111,8,內湖區,39,39,916,916,109532,271422,129010,142412
111,8,士林區,51,51,996,995,106339,262985,126713,136272
111,8,北投區,42,42,823,821,97467,239721,114880,124841
111,9,總計,456,456,9597,9574,1045899,2460932,1169771,1291161
111,9,松山區,33,33,765,762,78977,187552,87625,99927
111,9,信義區,41,41,911,908,87407,201951,95884,106067
111,9,大安區,53,53,1027,1021,117243,280332,130596,149736
111,9,中山區,42,42,871,869,98825,210156,97114,113042
111,9,中正區,31,31,583,582,64491,146628,69663,76965
111,9,大同區,25,25,525,523,51988,118065,57003,61062
111,9,萬華區,36,36,721,721,78358,172692,84212,88480
111,9,文山區,43,43,1005,1002,106834,256097,122161,133936
111,9,南港區,20,20,454,454,47795,113608,55187,58421
111,9,內湖區,39,39,916,916,109753,271426,128956,142470
111,9,士林區,51,51,996,995,106547,262807,126609,136198
111,9,北投區,42,42,823,821,97681,239618,114761,124857
111,10,總計,456,456,9596,9574,1047269,2465610,1171422,1294188
111,10,松山區,33,33,765,762,79087,187993,87789,100204
111,10,信義區,41,41,911,909,87548,202368,96009,106359
111,10,大安區,53,53,1026,1021,117511,281411,131036,150375
111,10,中山區,42,42,871,869,99000,210776,97332,113444
111,10,中正區,31,31,583,581,64604,146970,69795,77175
111,10,大同區,25,25,525,523,52114,118354,57128,61226
111,10,萬華區,36,36,721,721,78431,172819,84211,88608
111,10,文山區,43,43,1005,1002,106900,256418,122248,134170
111,10,南港區,20,20,454,454,47777,113612,55193,58419
111,10,內湖區,39,39,916,916,109831,271749,129053,142696
111,10,士林區,51,51,996,995,106729,263360,126822,136538
111,10,北投區,42,42,823,821,97737,239780,114806,124974
111,11,總計,456,456,9596,9574,1049179,2472547,1173910,1298637
111,11,松山區,33,33,765,762,79283,188799,88119,100680
111,11,信義區,41,41,911,909,87738,202981,96236,106745
111,11,大安區,53,53,1026,1021,117912,283034,131658,151376
111,11,中山區,42,42,871,869,99266,211591,97623,113968
111,11,中正區,31,31,583,581,64729,147515,69999,77516
111,11,大同區,25,25,525,523,52216,118554,57170,61384
111,11,萬華區,36,36,721,721,78491,173004,84254,88750
111,11,文山區,43,43,1005,1002,107032,256948,122421,134527
111,11,南港區,20,20,454,454,47825,113720,55184,58536
111,11,內湖區,39,39,916,916,109934,272202,129211,142991
111,11,士林區,51,51,996,995,106889,264019,127088,136931
111,11,北投區,42,42,823,821,97864,240180,114947,125233
111,12,總計,456,456,9598,9575,1050981,2480681,1177022,1303659
111,12,松山區,33,33,765,762,79505,189939,88635,101304
111,12,信義區,41,41,913,910,87993,203780,96550,107230
111,12,大安區,53,53,1026,1021,118081,284557,132247,152310
111,12,中山區,42,42,871,869,99538,212669,98040,114629
111,12,中正區,31,31,583,581,64831,148103,70200,77903
111,12,大同區,25,25,525,523,52316,118833,57284,61549
111,12,萬華區,36,36,721,721,78523,173040,84254,88786
111,12,文山區,43,43,1005,1002,107175,257558,122631,134927
111,12,南港區,20,20,454,454,47849,113798,55192,58606
111,12,內湖區,39,39,916,916,110126,272963,129498,143465
111,12,士林區,51,51,996,995,107020,264716,127319,137397
111,12,北投區,42,42,823,821,98024,240725,115172,125553
112,1,總計,456,456,9598,9575,1052383,2488043,1180304,1307739
112,1,松山區,33,33,765,762,79646,190772,89059,101713
112,1,信義區,41,41,913,910,88154,204414,96825,107589
112,1,大安區,53,53,1026,1021,118317,285933,132941,152992
112,1,中山區,42,42,871,869,99667,213393,98347,115046
112,1,中正區,31,31,583,581,64925,148505,70349,78156
112,1,大同區,25,25,525,523,52399,119123,57386,61737
112,1,萬華區,36,36,721,721,78568,173209,84305,88904
112,1,文山區,43,43,1005,1002,107319,258279,122959,135320
112,1,南港區,20,20,454,454,47872,113920,55224,58696
112,1,內湖區,39,39,916,916,110269,273783,129853,143930
112,1,士林區,51,51,996,995,107108,265462,127643,137819
112,1,北投區,42,42,823,821,98139,241250,115413,125837
112,2,總計,456,456,9600,9575,1053726,2490133,1180829,1309304
112,2,松山區,33,33,765,762,79762,191091,89212,101879
112,2,信義區,41,41,914,910,88299,204553,96825,107728
112,2,大安區,53,53,1026,1021,118473,286625,133242,153383
112,2,中山區,42,42,871,869,99773,213544,98342,115202
112,2,中正區,31,31,583,581,65019,148693,70418,78275
112,2,大同區,25,25,525,523,52479,119205,57379,61826
112,2,萬華區,36,36,721,721,78634,173193,84241,88952
112,2,文山區,43,43,1006,1002,107497,258419,123022,135397
112,2,南港區,20,20,454,454,47880,113795,55147,58648
112,2,內湖區,39,39,916,916,110414,274074,129913,144161
112,2,士林區,51,51,996,995,107255,265596,127667,137929
112,2,北投區,42,42,823,821,98241,241345,115421,125924
112,3,總計,456,456,9597,9572,1055747,2494813,1182407,1312406
112,3,松山區,33,33,762,759,79937,191599,89410,102189
112,3,信義區,41,41,914,910,88472,204983,96959,108024
112,3,大安區,53,53,1026,1021,118792,287706,133632,154074
112,3,中山區,42,42,871,869,99940,214040,98537,115503
112,3,中正區,31,31,583,581,65169,149134,70565,78569
112,3,大同區,25,25,525,523,52596,119366,57420,61946
112,3,萬華區,36,36,721,721,78767,173265,84260,89005
112,3,文山區,43,43,1006,1002,107660,258757,123124,135633
112,3,南港區,20,20,454,454,47951,113831,55155,58676
112,3,內湖區,39,39,916,916,110640,274538,130100,144438
112,3,士林區,51,51,996,995,107436,265938,127735,138203
112,3,北投區,42,42,823,821,98387,241656,115510,126146
112,4,總計,456,456,9595,9572,1056970,2498488,1183796,1314692
112,4,松山區,33,33,760,759,80000,191934,89511,102423
112,4,信義區,41,41,914,910,88631,205483,97213,108270
112,4,大安區,53,53,1026,1021,119032,288646,134024,154622
112,4,中山區,42,42,871,869,100097,214467,98685,115782
112,4,中正區,31,31,583,581,65267,149415,70678,78737
112,4,大同區,25,25,525,523,52640,119497,57455,62042
112,4,萬華區,36,36,721,721,78813,173326,84266,89060
112,4,文山區,43,43,1006,1002,107772,259110,123284,135826
112,4,南港區,20,20,454,454,47971,113881,55161,58720
112,4,內湖區,39,39,916,916,110708,274888,130271,144617
112,4,士林區,51,51,996,995,107559,266173,127776,138397
112,4,北投區,42,42,823,821,98480,241668,115472,126196
112,5,總計,456,456,9595,9572,1058590,2501988,1185015,1316973
112,5,松山區,33,33,760,759,80118,192325,89647,102678
112,5,信義區,41,41,914,910,88735,205760,97289,108471
112,5,大安區,53,53,1026,1021,119304,289525,134395,155130
112,5,中山區,42,42,871,869,100321,214884,98842,116042
112,5,中正區,31,31,583,581,65371,149710,70818,78892
112,5,大同區,25,25,525,523,52719,119610,57464,62146
112,5,萬華區,36,36,721,721,78909,173352,84251,89101
112,5,文山區,43,43,1006,1002,107947,259358,123354,136004
112,5,南港區,20,20,454,454,48013,113881,55114,58767
112,5,內湖區,39,39,916,916,110838,275221,130394,144827
112,5,士林區,51,51,996,995,107644,266355,127843,138512
112,5,北投區,42,42,823,821,98671,242007,115604,126403
112,6,總計,456,456,9595,9572,1059757,2504687,1185819,1318868
112,6,松山區,33,33,760,759,80212,192568,89736,102832
112,6,信義區,41,41,914,910,88835,205984,97344,108640
112,6,大安區,53,53,1026,1021,119477,290188,134614,155574
112,6,中山區,42,42,871,869,100474,215231,98965,116266
112,6,中正區,31,31,583,581,65427,149886,70861,79025
112,6,大同區,25,25,525,523,52792,119706,57474,62232
112,6,萬華區,36,36,721,721,79001,173357,84206,89151
112,6,文山區,43,43,1006,1002,108065,259734,123527,136207
112,6,南港區,20,20,454,454,48045,113930,55118,58812
112,6,內湖區,39,39,916,916,110924,275447,130454,144993
112,6,士林區,51,51,996,995,107728,266563,127916,138647
112,6,北投區,42,42,823,821,98777,242093,115604,126489
112,7,總計,456,456,9598,9571,1060491,2507143,1186600,1320543
112,7,松山區,33,33,760,759,80248,192831,89814,103017
112,7,信義區,41,41,914,910,88958,206275,97418,108857
112,7,大安區,53,53,1026,1021,119542,290472,134705,155767
112,7,中山區,42,42,871,869,100605,215697,99142,116555
112,7,中正區,31,31,583,581,65442,150047,70918,79129
112,7,大同區,25,25,525,522,52809,119738,57459,62279
112,7,萬華區,36,36,723,721,79103,173537,84277,89260
112,7,文山區,43,43,1006,1002,108094,259870,123600,136270
112,7,南港區,20,20,455,454,48051,113940,55117,58823
112,7,內湖區,39,39,916,916,111031,275658,130534,145124
112,7,士林區,51,51,996,995,107793,266868,127987,138881
112,7,北投區,42,42,823,821,98815,242210,115629,126581
112,8,總計,456,456,9598,9571,1061928,2506788,1186136,1320652
112,8,松山區,33,33,760,759,80316,192751,89771,102980
112,8,信義區,41,41,914,910,89119,206330,97401,108929
112,8,大安區,53,53,1026,1021,119619,290395,134622,155773
112,8,中山區,42,42,871,869,100812,215778,99206,116572
112,8,中正區,31,31,583,581,65466,149911,70868,79043
112,8,大同區,25,25,525,522,52917,119786,57461,62325
112,8,萬華區,36,36,723,721,79234,173666,84273,89393
112,8,文山區,43,43,1006,1002,108285,259851,123577,136274
112,8,南港區,20,20,455,454,48159,113930,55079,58851
112,8,內湖區,39,39,916,916,111145,275573,130498,145075
112,8,士林區,51,51,996,995,107884,266653,127831,138822
112,8,北投區,42,42,823,821,98972,242164,115549,126615
112,9,總計,456,456,9598,9572,1063881,2506251,1185453,1320798
112,9,松山區,33,33,760,759,80410,192506,89601,102905
112,9,信義區,41,41,914,910,89316,206311,97334,108977
112,9,大安區,53,53,1026,1021,119825,290387,134597,155790
112,9,中山區,42,42,871,869,101039,215852,99230,116622
112,9,中正區,31,31,583,581,65514,149733,70765,78968
112,9,大同區,25,25,525,522,53088,119778,57455,62323
112,9,萬華區,36,36,723,721,79342,173716,84275,89441
112,9,文山區,43,43,1006,1003,108476,259732,123442,136290
112,9,南港區,20,20,455,454,48278,113925,55062,58863
112,9,內湖區,39,39,916,916,111368,275633,130472,145161
112,9,士林區,51,51,996,995,108071,266607,127785,138822
112,9,北投區,42,42,823,821,99154,242071,115435,126636
112,10,總計,456,456,9598,9573,1064283,2508658,1186177,1322481
112,10,松山區,33,33,760,759,80432,192847,89739,103108
112,10,信義區,41,41,914,910,89336,206540,97376,109164
112,10,大安區,53,53,1026,1021,119873,290890,134751,156139
112,10,中山區,42,42,871,869,101081,216088,99297,116791
112,10,中正區,31,31,583,581,65523,149803,70762,79041
112,10,大同區,25,25,525,522,53115,119823,57493,62330
112,10,萬華區,36,36,723,721,79372,173843,84308,89535
112,10,文山區,43,43,1006,1004,108537,259981,123520,136461
112,10,南港區,20,20,455,454,48266,113981,55069,58912
112,10,內湖區,39,39,916,916,111414,275847,130523,145324
112,10,士林區,51,51,996,995,108156,266809,127856,138953
112,10,北投區,42,42,823,821,99178,242206,115483,126723
112,11,總計,456,456,9598,9573,1064629,2509894,1186475,1323419
112,11,松山區,33,33,760,759,80450,193075,89794,103281
112,11,信義區,41,41,914,910,89355,206624,97387,109237
112,11,大安區,53,53,1026,1021,119957,291280,134906,156374
112,11,中山區,42,42,871,869,101106,216161,99314,116847
112,11,中正區,31,31,583,581,65527,149975,70827,79148
112,11,大同區,25,25,525,522,53147,119842,57515,62327
112,11,萬華區,36,36,723,721,79388,173697,84242,89455
112,11,文山區,43,43,1006,1004,108601,260148,123586,136562
112,11,南港區,20,20,455,454,48279,113950,55039,58911
112,11,內湖區,39,39,916,916,111445,275982,130554,145428
112,11,士林區,51,51,996,995,108152,266861,127819,139042
112,11,北投區,42,42,823,821,99222,242299,115492,126807
112,12,總計,456,456,9600,9573,1065032,2511886,1187064,1324822
112,12,松山區,33,33,760,759,80518,193399,89973,103426
112,12,信義區,41,41,914,910,89409,206759,97386,109373
112,12,大安區,53,53,1026,1021,120022,291732,135119,156613
112,12,中山區,42,42,871,869,101102,216346,99365,116981
112,12,中正區,31,31,583,581,65560,150155,70894,79261
112,12,大同區,25,25,525,522,53148,119930,57515,62415
112,12,萬華區,36,36,723,721,79428,173652,84165,89487
112,12,文山區,43,43,1008,1004,108673,260313,123610,136703
112,12,南港區,20,20,455,454,48274,113959,55025,58934
112,12,內湖區,39,39,916,916,111466,276180,130635,145545
112,12,士林區,51,51,996,995,108160,266951,127804,139147
112,12,北投區,42,42,823,821,99272,242510,115573,126937
113,1,總計,456,456,9600,9573,1064869,2511291,1186485,1324806
113,1,松山區,33,33,760,759,80524,193453,89992,103461
113,1,信義區,41,41,914,910,89355,206666,97333,109333
113,1,大安區,53,53,1026,1021,119925,291687,135081,156606
113,1,中山區,42,42,871,869,101056,216359,99358,117001
113,1,中正區,31,31,583,581,65509,150154,70868,79286
113,1,大同區,25,25,525,522,53185,119957,57489,62468
113,1,萬華區,36,36,723,721,79424,173431,83987,89444
113,1,文山區,43,43,1008,1004,108657,260298,123605,136693
113,1,南港區,20,20,455,454,48266,113893,54974,58919
113,1,內湖區,39,39,916,916,111500,276173,130565,145608
113,1,士林區,51,51,996,995,108174,266841,127765,139076
113,1,北投區,42,42,823,821,99294,242379,115468,126911
113,2,總計,456,456,9601,9573,1065028,2510477,1185840,1324637
113,2,松山區,33,33,760,759,80519,193522,90011,103511
113,2,信義區,41,41,914,910,89329,206504,97252,109252
113,2,大安區,53,53,1026,1021,119963,291721,135039,156682
113,2,中山區,42,42,871,869,101099,216246,99275,116971
113,2,中正區,31,31,583,581,65510,150162,70849,79313
113,2,大同區,25,25,525,522,53232,119919,57463,62456
113,2,萬華區,36,36,724,721,79433,173256,83889,89367
113,2,文山區,43,43,1008,1004,108684,260228,123559,136669
113,2,南港區,20,20,455,454,48276,113875,54951,58924
113,2,內湖區,39,39,916,916,111509,276131,130572,145559
113,2,士林區,51,51,996,995,108183,266680,127628,139052
113,2,北投區,42,42,823,821,99291,242233,115352,126881
113,3,總計,456,456,9603,9573,1065525,2509740,1185249,1324491
113,3,松山區,33,33,760,759,80584,193625,90070,103555
113,3,信義區,41,41,914,910,89310,206284,97125,109159
113,3,大安區,53,53,1026,1021,120007,291851,135071,156780
113,3,中山區,42,42,871,869,101093,216045,99178,116867
113,3,中正區,31,31,583,581,65560,150179,70855,79324
113,3,大同區,25,25,525,522,53263,119962,57468,62494
113,3,萬華區,36,36,726,721,79505,173071,83754,89317
113,3,文山區,43,43,1008,1004,108740,260166,123490,136676
113,3,南港區,20,20,455,454,48281,113776,54921,58855
113,3,內湖區,39,39,916,916,111546,276010,130496,145514
113,3,士林區,51,51,996,995,108228,266562,127521,139041
113,3,北投區,42,42,823,821,99408,242209,115300,126909
113,4,總計,456,456,9604,9573,1065922,2509112,1184681,1324431
113,4,松山區,33,33,760,759,80617,193653,90110,103543
113,4,信義區,41,41,914,910,89321,206356,97174,109182
113,4,大安區,53,53,1026,1021,120076,291949,135058,156891
113,4,中山區,42,42,871,869,101143,216125,99145,116980
113,4,中正區,31,31,583,581,65589,150208,70881,79327
113,4,大同區,25,25,525,522,53290,119869,57413,62456
113,4,萬華區,36,36,726,721,79577,172944,83656,89288
113,4,文山區,43,43,1009,1004,108779,260023,123402,136621
113,4,南港區,20,20,455,454,48288,113682,54858,58824
113,4,內湖區,39,39,916,916,111530,275843,130389,145454
113,4,士林區,51,51,996,995,108242,266410,127441,138969
113,4,北投區,42,42,823,821,99470,242050,115154,126896
113,5,總計,456,456,9604,9575,1066580,2507673,1183803,1323870
113,5,松山區,33,33,760,759,80699,193610,90068,103542
113,5,信義區,41,41,914,910,89365,206202,97086,109116
113,5,大安區,53,53,1026,1021,120099,291793,134956,156837
113,5,中山區,42,42,871,869,101182,216054,99129,116925
113,5,中正區,31,31,583,581,65592,150015,70765,79250
113,5,大同區,25,25,525,522,53376,119847,57370,62477
113,5,萬華區,36,36,726,722,79632,172764,83564,89200
113,5,文山區,43,43,1009,1004,108898,259953,123377,136576
113,5,南港區,20,20,455,454,48310,113585,54784,58801
113,5,內湖區,39,39,916,916,111561,275737,130342,145395
113,5,士林區,51,51,996,995,108291,266171,127297,138874
113,5,北投區,42,42,823,822,99575,241942,115065,126877
113,6,總計,456,456,9606,9576,1067481,2506767,1183068,1323699
113,6,松山區,33,33,760,759,80767,193486,90008,103478
113,6,信義區,41,41,914,910,89494,206168,97079,109089
113,6,大安區,53,53,1026,1021,120148,291756,134912,156844
113,6,中山區,42,42,871,869,101281,216082,99104,116978
113,6,中正區,31,31,583,581,65653,149838,70640,79198
113,6,大同區,25,25,525,522,53431,119797,57331,62466
113,6,萬華區,36,36,726,723,79747,172660,83471,89189
113,6,文山區,43,43,1011,1004,109008,259886,123317,136569
113,6,南港區,20,20,455,454,48318,113477,54710,58767
113,6,內湖區,39,39,916,916,111643,275654,130255,145399
113,6,士林區,51,51,996,995,108346,266102,127246,138856
113,6,北投區,42,42,823,822,99645,241861,114995,126866
113,7,總計,456,456,9606,9576,1067895,2504731,1181917,1322814
113,7,松山區,33,33,760,759,80784,193316,89921,103395
113,7,信義區,41,41,914,910,89569,206014,96977,109037
113,7,大安區,53,53,1026,1021,120096,291353,134733,156620
113,7,中山區,42,42,871,869,101345,215971,99006,116965
113,7,中正區,31,31,583,581,65705,149798,70613,79185
113,7,大同區,25,25,525,522,53410,119600,57208,62392
113,7,萬華區,36,36,726,723,79783,172473,83321,89152
113,7,文山區,43,43,1011,1004,109098,259735,123254,136481
113,7,南港區,20,20,455,454,48309,113377,54635,58742
113,7,內湖區,39,39,916,916,111658,275498,130187,145311
113,7,士林區,51,51,996,995,108383,265812,127116,138696
113,7,北投區,42,42,823,822,99755,241784,114946,126838
113,8,總計,456,456,9605,9575,1068859,2502093,1180471,1321622
113,8,松山區,33,33,760,759,80827,193110,89834,103276
113,8,信義區,41,41,914,910,89636,205753,96842,108911
113,8,大安區,53,53,1026,1021,120092,290857,134461,156396
113,8,中山區,42,42,871,869,101452,215765,98891,116874
113,8,中正區,31,31,583,581,65705,149445,70466,78979
113,8,大同區,25,25,525,522,53509,119477,57128,62349
113,8,萬華區,36,36,726,723,79908,172431,83281,89150
113,8,文山區,43,43,1011,1004,109251,259582,123123,136459
113,8,南港區,20,20,455,454,48364,113313,54604,58709
113,8,內湖區,39,39,915,915,111724,275109,129984,145125
113,8,士林區,51,51,996,995,108528,265627,127008,138619
113,8,北投區,42,42,823,822,99863,241624,114849,126775
113,9,總計,456,456,9607,9578,1070627,2498210,1178485,1319725
113,9,松山區,33,33,760,759,80821,192442,89512,102930
113,9,信義區,41,41,914,910,89860,205532,96713,108819
113,9,大安區,53,53,1026,1021,120268,290363,134203,156160
113,9,中山區,42,42,871,869,101728,215729,98855,116874
113,9,中正區,31,31,583,581,65719,148958,70278,78680
113,9,大同區,25,25,525,522,53684,119453,57123,62330
113,9,萬華區,36,36,728,726,80131,172334,83214,89120
113,9,文山區,43,43,1011,1004,109469,259228,122907,136321
113,9,南港區,20,20,455,454,48454,113104,54490,58614
113,9,內湖區,39,39,915,915,111778,274558,129718,144840
113,9,士林區,51,51,996,995,108671,265075,126744,138331
113,9,北投區,42,42,823,822,100044,241434,114728,126706
